dni , nombre , apellido , sexo , natalicio , estado , id_os
487429003 , Fulvia , Knapp , F , 10/5/2016 , fallecido , Aleman
944272876 , Jasen , Theobold , M , 8/19/1972 , n/c , Medicus
134959813 , Eryn , Blackstone , F , 3/15/2008 , n/c , Aleman
364278198 , Franklin , Orpyne , M , 7/5/1977 , internado , IOSFA
286946237 , Morna , Allison , F , 5/26/1985 , fallecido , Italiano
333812655 , Lynnette , Rodders , F , 11/28/2005 , internado , Espanyol
179317639 , Torrence , Balch , M , 7/21/1950 , fallecido , Medicus
693252199 , Murdoch , Hansemann , M , 11/28/1973 , n/c , Aleman
982991999 , Appolonia , Benge , F , 5/31/1980 , fallecido , OSDE
334202355 , Erin , Tabourin , F , 10/3/1976 , internado , Espanyol
343636407 , Norton , Waterman , M , 9/9/1964 , fallecido , IOSFA
934913535 , Phip , Cardillo , M , 9/14/1951 , n/c , Italiano
709824724 , Reena , Frankum , F , 3/5/1973 , internado , Medicus
645118408 , Georges , Yeats , M , 5/30/1962 , internado , IOSFA
190963399 , Rollins , Hitschke , M , 5/30/2004 , n/c , Espanyol
046029446 , Nikolia , Benion , F , 10/27/1992 , internado , OSDE
700665751 , Hildagarde , Gover , F , 12/15/1988 , fallecido , OSDE
421483538 , Carmel , Brosi , F , 11/26/2017 , fallecido , Medicus
759333192 , Lyn , Balwin , F , 8/14/1956 , fallecido , Italiano
954152684 , Shepard , Bredgeland , M , 5/5/2021 , internado , Aleman
005433415 , Brigit , Elleray , F , 6/17/1971 , fallecido , Espanyol
